transaction_id,payment_id,settlement_id,amount,currency,timestamp,ledger_status,ledger_entry_id,posted_at,reconciliation_batch
TXN-000032,PAY-000032-525,SET-20260827-653702,112.74,INR,2026-08-27T06:35:40,POSTED,LED-20881650,2026-08-27T18:39:48,RB-20260827
TXN-000033,PAY-000033-809,SET-20260820-630256,414.35,INR,2026-08-20T23:20:24,POSTED,LED-13739891,2026-08-21T08:54:24,RB-20260821
TXN-000034,PAY-000034-409,SET-20260807-972810,746.85,INR,2026-08-07T19:31:33,POSTED,LED-82222140,2026-08-08T09:23:22,RB-20260808
TXN-000035,PAY-000035-239,SET-20260815-213145,1669.09,INR,2026-08-15T15:30:18,POSTED,LED-71327313,2026-08-15T21:59:06,RB-20260815
TXN-000036,PAY-000036-841,SET-20260819-249087,255.88,INR,2026-08-19T22:07:47,POSTED,LED-48963873,2026-08-20T06:52:01,RB-20260820
TXN-000037,PAY-000037-175,SET-20260808-962263,1319.41,INR,2026-08-08T01:15:08,POSTED,LED-48913585,2026-08-08T06:03:40,RB-20260808
TXN-000038,PAY-000038-262,SET-20260831-358206,2073.55,INR,2026-08-31T12:17:57,POSTED,LED-60457436,2026-09-01T01:27:49,RB-20260901
TXN-000040,PAY-000040-162,SET-20260820-318772,203.10,INR,2026-08-20T03:45:56,POSTED,LED-73166328,2026-08-20T13:48:42,RB-20260820
TXN-000041,PAY-000041-977,SET-20260822-426396,389.16,INR,2026-08-22T20:33:58,POSTED,LED-23062813,2026-08-23T09:38:45,RB-20260823
TXN-000042,PAY-000042-394,SET-20260822-190832,1477.58,INR,2026-08-22T08:03:50,POSTED,LED-71431152,2026-08-22T17:24:00,RB-20260822
TXN-000043,PAY-000043-465,SET-20260829-119296,2433.60,INR,2026-08-29T17:49:00,POSTED,LED-41468539,2026-08-30T01:28:20,RB-20260830
TXN-000044,PAY-000044-752,SET-20260804-318206,676.48,INR,2026-08-04T22:16:06,POSTED,LED-32820982,2026-08-05T09:28:37,RB-20260805
TXN-000045,PAY-000045-191,SET-20260812-999884,137.46,INR,2026-08-12T04:57:07,ACCRUED,LED-77798008,2026-08-12T14:57:07,RB-20260812
TXN-000046,PAY-000046-451,SET-20260817-545443,1421.88,INR,2026-08-17T23:13:28,POSTED,LED-82002579,2026-08-18T05:33:21,RB-20260818
TXN-000047,PAY-000047-394,SET-20260818-988910,972.25,INR,2026-08-18T03:12:20,ACCRUED,LED-66576225,2026-08-19T03:12:20,RB-20260819
TXN-000049,PAY-000049-650,SET-20260830-926085,1754.09,INR,2026-08-30T19:23:55,POSTED,LED-38516689,2026-08-31T00:59:13,RB-20260831
TXN-000050,PAY-000050-689,SET-20260808-627398,2440.49,INR,2026-08-08T13:34:31,POSTED,LED-42239786,2026-08-08T22:04:07,RB-20260808
TXN-000051,PAY-000051-758,SET-20260805-613874,292.66,INR,2026-08-05T12:16:48,ACCRUED,LED-96028894,2026-08-06T08:16:48,RB-20260806
TXN-000052,PAY-000052-236,SET-20260813-702607,1885.13,INR,2026-08-13T05:18:10,POSTED,LED-62784715,2026-08-13T08:40:55,RB-20260813
TXN-000053,PAY-000053-556,SET-20260804-334727,715.60,INR,2026-08-04T15:51:13,POSTED,LED-72376220,2026-08-05T05:35:42,RB-20260805
TXN-000054,PAY-000054-557,SET-20260820-326279,690.26,INR,2026-08-20T19:51:43,POSTED,LED-20932171,2026-08-21T06:57:05,RB-20260821
TXN-000056,PAY-000056-511,SET-20260822-906612,1537.12,INR,2026-08-22T03:05:05,POSTED,LED-74300588,2026-08-22T09:17:31,RB-20260822
TXN-000057,PAY-000057-609,SET-20260825-253262,121.79,INR,2026-08-25T12:15:09,POSTED,LED-66668287,2026-08-25T23:37:56,RB-20260825
TXN-000058,PAY-000058-626,SET-20260806-986741,237.73,INR,2026-08-06T20:26:28,POSTED,LED-24970480,2026-08-07T09:57:25,RB-20260807
TXN-000059,PAY-000059-207,SET-20260825-260635,650.68,INR,2026-08-25T12:28:33,POSTED,LED-29348563,2026-08-25T18:18:22,RB-20260825
TXN-000060,PAY-000060-906,SET-20260801-413807,2054.82,INR,2026-08-01T10:00:21,POSTED,LED-20510798,2026-08-01T21:20:27,RB-20260801
TXN-000060,PAY-000060-906,SET-20260801-413807,2054.82,INR,2026-08-01T10:00:21,DUPLICATE_HOLD,LED-60079938,2026-08-01T22:16:27,RB-20260801
TXN-000061,PAY-000061-449,SET-20260829-886644,1466.11,INR,2026-08-29T14:27:00,ACCRUED,LED-63884038,2026-08-30T11:27:00,RB-20260830
TXN-000063,PAY-000063-884,SET-20260826-228730,431.20,INR,2026-08-26T20:16:52,POSTED,LED-64484089,2026-08-26T23:42:43,RB-20260826
TXN-000064,PAY-000064-837,SET-20260821-904985,880.62,INR,2026-08-21T08:55:04,POSTED,LED-92551357,2026-08-21T18:06:49,RB-20260821
TXN-000065,PAY-000065-132,SET-20260821-118049,74.23,INR,2026-08-21T22:02:14,POSTED,LED-97185653,2026-08-22T10:28:20,RB-20260822
TXN-000066,PAY-000066-597,SET-20260814-868197,437.95,INR,2026-08-14T02:34:51,POSTED,LED-65452717,2026-08-14T08:25:43,RB-20260814
TXN-000067,PAY-000067-389,SET-20260827-457745,66.52,INR,2026-08-27T03:43:35,POSTED,LED-60094136,2026-08-27T17:13:19,RB-20260827
TXN-000068,PAY-000068-420,SET-20260815-372903,2415.37,INR,2026-08-15T05:45:03,POSTED,LED-18096020,2026-08-15T09:09:00,RB-20260815
TXN-000069,PAY-000069-297,SET-20260825-828266,1174.23,INR,2026-08-25T20:03:16,POSTED,LED-87336909,2026-08-25T23:00:13,RB-20260825
TXN-000070,PAY-000070-545,SET-20260814-204226,1332.71,INR,2026-08-14T13:38:15,POSTED,LED-53984416,2026-08-15T00:24:01,RB-20260815
TXN-000071,PAY-000071-374,SET-20260819-528064,92.64,INR,2026-08-19T18:58:49,POSTED,LED-84408061,2026-08-20T07:16:51,RB-20260820
TXN-000072,PAY-000072-852,SET-20260826-244850,1286.14,INR,2026-08-26T02:35:38,POSTED,LED-44272727,2026-08-26T15:55:27,RB-20260826
TXN-000073,PAY-000073-183,SET-20260822-729611,1667.09,INR,2026-08-22T09:25:34,POSTED,LED-99251423,2026-08-22T15:38:18,RB-20260822
TXN-000074,PAY-000074-887,SET-20260818-620085,2227.87,INR,2026-08-18T21:13:22,POSTED,LED-90857765,2026-08-19T06:31:03,RB-20260819
TXN-000075,PAY-000075-635,SET-20260801-987487,121.35,INR,2026-08-01T17:45:34,POSTED,LED-90620908,2026-08-01T23:11:27,RB-20260801
TXN-000076,PAY-000076-202,SET-20260823-728208,2272.19,INR,2026-08-23T06:20:35,POSTED,LED-68517524,2026-08-23T21:27:16,RB-20260823
TXN-000077,PAY-000077-167,SET-20260825-621023,1324.79,INR,2026-08-25T05:32:33,POSTED,LED-37910489,2026-08-25T18:54:56,RB-20260825
TXN-000078,PAY-000078-199,SET-20260901-895447,1726.57,INR,2026-09-01T06:04:01,POSTED,LED-47576737,2026-09-01T18:17:39,RB-20260901
TXN-000079,PAY-000079-337,SET-20260811-611991,244.73,INR,2026-08-11T19:28:31,POSTED,LED-59728856,2026-08-12T05:34:17,RB-20260812
TXN-000080,PAY-000080-758,SET-20260808-568924,1990.68,INR,2026-08-08T06:12:48,POSTED,LED-69705626,2026-08-08T12:07:12,RB-20260808
TXN-000081,PAY-000081-368,SET-20260820-369248,1210.48,INR,2026-08-20T22:44:19,POSTED,LED-20977590,2026-08-21T02:08:12,RB-20260821
TXN-000082,PAY-000082-732,SET-20260829-540978,1232.02,INR,2026-08-29T12:57:29,POSTED,LED-51040701,2026-08-29T16:08:07,RB-20260829
TXN-000083,PAY-000083-580,SET-20260804-654442,2113.72,INR,2026-08-04T00:55:42,POSTED,LED-30266981,2026-08-04T07:06:21,RB-20260804
TXN-000085,PAY-000085-242,SET-20260819-702993,1792.05,INR,2026-08-19T17:55:18,POSTED,LED-10915106,2026-08-20T00:20:19,RB-20260820
TXN-000086,PAY-000086-878,SET-20260809-267909,504.04,INR,2026-08-09T22:12:38,POSTED,LED-96382755,2026-08-10T04:56:54,RB-20260810
TXN-000087,PAY-000087-652,SET-20260830-605511,2179.97,INR,2026-08-30T22:20:49,POSTED,LED-84148146,2026-08-31T10:46:02,RB-20260831
TXN-000088,PAY-000088-633,SET-20260815-268344,1609.30,INR,2026-08-15T09:04:56,POSTED,LED-86440500,2026-08-15T20:05:50,RB-20260815
TXN-000089,PAY-000089-495,SET-20260815-521763,606.89,INR,2026-08-15T10:34:28,POSTED,LED-37273959,2026-08-16T00:42:53,RB-20260816
TXN-000089,PAY-000089-495,SET-20260815-521763,606.89,INR,2026-08-15T10:34:28,DUPLICATE_HOLD,LED-29246709,2026-08-16T01:36:53,RB-20260816
TXN-000090,PAY-000090-750,SET-20260808-899236,1505.82,INR,2026-08-08T09:56:34,POSTED,LED-37580252,2026-08-08T20:52:25,RB-20260808
TXN-000091,PAY-000091-432,SET-20260805-677167,2198.57,INR,2026-08-05T09:54:19,POSTED,LED-29677031,2026-08-05T20:02:27,RB-20260805
TXN-000093,PAY-000093-639,SET-20260821-185628,2179.95,INR,2026-08-21T07:42:48,POSTED,LED-36055552,2026-08-21T16:06:51,RB-20260821
TXN-000094,PAY-000094-448,SET-20260806-151866,1738.20,INR,2026-08-06T02:58:49,POSTED,LED-94509429,2026-08-06T12:54:22,RB-20260806
TXN-000095,PAY-000095-241,SET-20260824-731980,1730.20,INR,2026-08-24T20:14:24,POSTED,LED-55100255,2026-08-25T03:03:44,RB-20260825
TXN-000096,PAY-000096-214,SET-20260806-507332,2453.98,INR,2026-08-06T13:43:33,POSTED,LED-70567973,2026-08-07T00:02:01,RB-20260807
TXN-000097,PAY-000097-465,SET-20260811-703424,2365.66,INR,2026-08-11T23:03:43,POSTED,LED-56234167,2026-08-12T07:57:53,RB-20260812
TXN-000098,PAY-000098-380,SET-20260828-820095,81.29,INR,2026-08-28T05:18:08,POSTED,LED-73065129,2026-08-28T14:05:49,RB-20260828
TXN-000100,PAY-000100-743,SET-20260813-326022,942.64,INR,2026-08-13T10:51:34,POSTED,LED-80261950,2026-08-13T19:15:40,RB-20260813
TXN-000101,PAY-000101-214,SET-20260808-218982,1588.20,INR,2026-08-08T02:56:09,POSTED,LED-45162675,2026-08-08T11:00:51,RB-20260808
TXN-000102,PAY-000102-598,SET-20260812-161242,125.51,INR,2026-08-12T11:48:27,POSTED,LED-70052833,2026-08-13T04:13:37,RB-20260813
TXN-000103,PAY-000103-200,SET-20260806-113840,1106.76,INR,2026-08-06T20:42:22,POSTED,LED-66140508,2026-08-07T04:30:01,RB-20260807
TXN-000104,PAY-000104-188,SET-20260809-165654,1644.84,INR,2026-08-09T23:58:44,POSTED,LED-41728108,2026-08-10T09:40:27,RB-20260810
TXN-000105,PAY-000105-666,SET-20260802-744624,2393.53,INR,2026-08-02T19:54:20,POSTED,LED-13581005,2026-08-03T04:58:36,RB-20260803
TXN-000106,PAY-000106-804,SET-20260812-117929,2058.94,INR,2026-08-12T00:52:41,POSTED,LED-20421185,2026-08-12T16:47:14,RB-20260812
TXN-000107,PAY-000107-969,SET-20260818-360661,1759.36,INR,2026-08-18T07:54:52,POSTED,LED-49174028,2026-08-18T23:38:16,RB-20260818
TXN-000108,PAY-000108-715,SET-20260811-142504,683.10,INR,2026-08-11T11:56:44,POSTED,LED-97330202,2026-08-11T18:49:30,RB-20260811
TXN-000110,PAY-000110-617,SET-20260805-927183,1044.36,INR,2026-08-05T12:30:36,POSTED,LED-60363383,2026-08-05T21:12:12,RB-20260805
TXN-000111,PAY-000111-815,SET-20260825-644332,1616.83,INR,2026-08-25T11:14:58,POSTED,LED-11900916,2026-08-25T20:19:51,RB-20260825
TXN-000112,PAY-000112-160,SET-20260817-235865,273.41,INR,2026-08-17T04:56:28,ACCRUED,LED-47048849,2026-08-17T16:56:28,RB-20260817
TXN-000113,PAY-000113-163,SET-20260819-156224,499.36,INR,2026-08-19T21:18:25,POSTED,LED-38387509,2026-08-20T12:48:39,RB-20260820
TXN-000114,PAY-000114-111,SET-20260827-776012,1972.09,INR,2026-08-27T01:56:19,POSTED,LED-23129253,2026-08-27T10:11:19,RB-20260827
TXN-000117,PAY-000117-603,SET-20260812-799090,2341.29,INR,2026-08-12T10:24:47,POSTED,LED-92801107,2026-08-12T21:46:11,RB-20260812
TXN-000118,PAY-000118-770,SET-20260811-457688,1231.01,INR,2026-08-11T03:06:15,POSTED,LED-29787188,2026-08-11T07:57:01,RB-20260811
TXN-000119,PAY-000119-854,SET-20260818-682565,735.49,INR,2026-08-18T07:23:03,POSTED,LED-46060566,2026-08-18T10:42:16,RB-20260818
TXN-000120,PAY-000120-957,SET-20260818-698178,1953.69,INR,2026-08-18T13:18:38,POSTED,LED-93524484,2026-08-18T22:16:17,RB-20260818
TXN-000121,PAY-000121-807,SET-20260826-250181,930.81,INR,2026-08-26T08:44:26,POSTED,LED-11438062,2026-08-26T16:11:44,RB-20260826
TXN-000122,PAY-000122-490,SET-20260807-202215,1655.86,INR,2026-08-07T08:28:41,POSTED,LED-11153045,2026-08-07T18:42:11,RB-20260807
TXN-000123,PAY-000123-219,SET-20260819-565904,1772.40,INR,2026-08-19T18:27:18,POSTED,LED-90292439,2026-08-20T00:03:39,RB-20260820
TXN-000124,PAY-000124-716,SET-20260818-816561,149.14,INR,2026-08-18T16:23:35,POSTED,LED-21803393,2026-08-19T05:12:15,RB-20260819
TXN-000125,PAY-000125-645,SET-20260819-625354,1759.48,INR,2026-08-19T04:43:21,POSTED,LED-22573788,2026-08-19T20:01:16,RB-20260819
TXN-000126,PAY-000126-955,SET-20260804-789431,1524.15,INR,2026-08-04T18:08:31,POSTED,LED-69143679,2026-08-05T04:26:18,RB-20260805
TXN-000128,PAY-000128-581,SET-20260829-688393,559.47,INR,2026-08-29T18:53:45,POSTED,LED-48990249,2026-08-30T05:51:20,RB-20260830
TXN-000129,PAY-000129-480,SET-20260816-133050,2002.62,INR,2026-08-16T23:53:42,POSTED,LED-11384880,2026-08-17T10:02:31,RB-20260817
TXN-000130,PAY-000130-299,SET-20260807-978761,1053.18,INR,2026-08-07T22:44:06,ACCRUED,LED-10352105,2026-08-08T07:44:06,RB-20260808
TXN-000131,PAY-000131-825,SET-20260815-641052,924.83,INR,2026-08-15T20:08:00,POSTED,LED-34008506,2026-08-16T06:50:01,RB-20260816
TXN-000132,PAY-000132-193,SET-20260826-642596,2494.44,INR,2026-08-26T22:41:19,POSTED,LED-56504830,2026-08-27T02:37:26,RB-20260827
TXN-000133,PAY-000133-959,SET-20260814-376307,1891.25,INR,2026-08-14T08:00:29,POSTED,LED-12091834,2026-08-14T18:35:33,RB-20260814
TXN-000134,PAY-000134-555,SET-20260818-231008,200.75,INR,2026-08-18T09:03:35,POSTED,LED-58239349,2026-08-18T15:54:26,RB-20260818
TXN-000135,PAY-000135-560,SET-20260811-972072,1212.86,INR,2026-08-11T10:22:15,POSTED,LED-38681581,2026-08-11T21:30:40,RB-20260811
TXN-000136,PAY-000136-492,SET-20260817-562154,1925.75,INR,2026-08-17T02:46:29,POSTED,LED-46632047,2026-08-17T18:13:19,RB-20260817
TXN-000137,PAY-000137-150,SET-20260822-585828,2114.50,INR,2026-08-22T01:36:23,ACCRUED,LED-84282814,2026-08-22T18:36:23,RB-20260822
TXN-000138,PAY-000138-619,SET-20260814-680954,1971.07,INR,2026-08-14T07:25:54,POSTED,LED-99038134,2026-08-14T19:25:12,RB-20260814
TXN-000139,PAY-000139-476,SET-20260818-213516,655.09,INR,2026-08-18T18:40:22,ACCRUED,LED-13927455,2026-08-19T17:40:22,RB-20260819
TXN-000140,PAY-000140-276,SET-20260805-967879,1565.68,INR,2026-08-05T07:56:50,POSTED,LED-13052901,2026-08-05T18:08:47,RB-20260805
TXN-000141,PAY-000141-787,SET-20260806-320142,2278.57,INR,2026-08-06T21:26:50,POSTED,LED-93379913,2026-08-07T09:31:40,RB-20260807
TXN-000142,PAY-000142-683,SET-20260823-365474,1792.70,INR,2026-08-23T15:33:02,SUSPENSE,LED-41327787,2026-08-23T23:02:32,RB-20260823
TXN-000143,PAY-000143-754,SET-20260824-453099,2034.86,INR,2026-08-24T16:33:48,POSTED,LED-69016524,2026-08-25T06:56:17,RB-20260825
TXN-000144,PAY-000144-747,SET-20260819-684882,30.26,INR,2026-08-19T19:16:41,POSTED,LED-23016020,2026-08-20T04:37:06,RB-20260820
TXN-000145,PAY-000145-759,SET-20260814-528081,2377.59,INR,2026-08-14T04:57:38,POSTED,LED-17088489,2026-08-14T15:35:51,RB-20260814
TXN-000146,PAY-000146-460,SET-20260803-566995,2054.28,INR,2026-08-03T01:40:46,POSTED,LED-15807632,2026-08-03T16:01:30,RB-20260803
TXN-000147,PAY-000147-242,SET-20260801-302140,681.45,INR,2026-08-01T18:39:51,POSTED,LED-46469816,2026-08-01T21:08:44,RB-20260801
TXN-000148,PAY-000148-385,SET-20260820-576961,1612.71,INR,2026-08-20T01:42:59,POSTED,LED-31199684,2026-08-20T16:07:59,RB-20260820
TXN-000149,PAY-000149-577,SET-20260825-696144,511.46,INR,2026-08-25T01:59:42,POSTED,LED-24363441,2026-08-25T14:23:14,RB-20260825
TXN-000150,PAY-000150-199,SET-20260816-292497,2082.00,INR,2026-08-16T15:19:30,POSTED,LED-71280186,2026-08-17T05:10:58,RB-20260817
TXN-000151,PAY-000151-584,SET-20260812-409249,454.12,INR,2026-08-12T22:49:31,POSTED,LED-23559471,2026-08-13T10:58:41,RB-20260813
TXN-000152,PAY-000152-969,SET-20260807-561864,574.58,INR,2026-08-07T22:29:31,POSTED,LED-30796644,2026-08-08T10:40:46,RB-20260808
TXN-000153,PAY-000153-725,SET-20260831-364960,1641.01,INR,2026-08-31T20:12:52,POSTED,LED-26274729,2026-09-01T05:07:53,RB-20260901
TXN-000155,PAY-000155-779,SET-20260807-786213,2428.47,INR,2026-08-07T06:38:50,ACCRUED,LED-70389115,2026-08-07T17:38:50,RB-20260807
TXN-000156,PAY-000156-528,SET-20260821-565723,1458.69,INR,2026-08-21T02:45:34,POSTED,LED-30613858,2026-08-21T18:51:05,RB-20260821
TXN-000157,PAY-000157-402,SET-20260803-557242,752.03,INR,2026-08-03T05:19:54,ACCRUED,LED-14042694,2026-08-04T03:19:54,RB-20260804
TXN-000158,PAY-000158-486,SET-20260814-576461,1897.46,INR,2026-08-14T18:18:16,POSTED,LED-17443236,2026-08-15T07:01:07,RB-20260815
TXN-000158,PAY-000158-486,SET-20260814-576461,1897.46,INR,2026-08-14T18:18:16,DUPLICATE_HOLD,LED-55987928,2026-08-15T07:22:07,RB-20260815
TXN-000159,PAY-000159-236,SET-20260813-908915,1460.77,INR,2026-08-13T15:02:26,POSTED,LED-20386326,2026-08-13T19:28:54,RB-20260813
TXN-000160,PAY-000160-140,SET-20260817-947341,686.68,INR,2026-08-17T17:34:42,POSTED,LED-20123881,2026-08-17T23:06:14,RB-20260817
TXN-000161,PAY-000161-854,SET-20260824-696888,952.93,INR,2026-08-24T15:40:45,POSTED,LED-84850336,2026-08-25T03:07:08,RB-20260825
TXN-000162,PAY-000162-480,SET-20260815-906226,1358.21,INR,2026-08-15T07:49:31,POSTED,LED-66420347,2026-08-15T12:47:27,RB-20260815
TXN-000164,PAY-000164-941,SET-20260830-384609,1544.31,INR,2026-08-30T20:25:16,POSTED,LED-98640334,2026-08-31T07:03:48,RB-20260831
TXN-000165,PAY-000165-322,SET-20260811-269116,1365.81,INR,2026-08-11T16:28:37,POSTED,LED-50400102,2026-08-12T08:49:35,RB-20260812
TXN-000166,PAY-000166-530,SET-20260826-235177,2137.25,INR,2026-08-26T16:25:57,POSTED,LED-12290781,2026-08-27T03:45:03,RB-20260827
TXN-000167,PAY-000167-241,SET-20260823-744765,1985.64,INR,2026-08-23T23:13:34,POSTED,LED-39430081,2026-08-24T01:44:22,RB-20260824
TXN-000168,PAY-000168-483,SET-20260803-559279,2498.81,INR,2026-08-03T05:03:47,ACCRUED,LED-64364913,2026-08-04T00:03:47,RB-20260804
TXN-000169,PAY-000169-880,SET-20260822-620122,2269.41,INR,2026-08-22T21:56:07,ACCRUED,LED-12437260,2026-08-23T03:56:07,RB-20260823
TXN-000170,PAY-000170-172,SET-20260823-515921,2127.75,INR,2026-08-23T12:52:48,POSTED,LED-39481970,2026-08-23T20:34:56,RB-20260823
TXN-000171,PAY-000171-349,SET-20260811-338151,1811.91,INR,2026-08-11T18:06:37,POSTED,LED-49523851,2026-08-12T07:37:14,RB-20260812
TXN-000172,PAY-000172-865,SET-20260807-276646,157.70,INR,2026-08-07T04:04:39,POSTED,LED-92340993,2026-08-07T08:56:48,RB-20260807
TXN-000173,PAY-000173-624,SET-20260813-884391,1480.87,INR,2026-08-13T01:12:09,POSTED,LED-55928029,2026-08-13T12:44:31,RB-20260813
TXN-000174,PAY-000174-621,SET-20260827-881628,2164.13,INR,2026-08-27T23:34:25,ACCRUED,LED-50337186,2026-08-28T13:34:25,RB-20260828
TXN-000175,PAY-000175-580,SET-20260803-116826,2402.36,INR,2026-08-03T15:33:22,POSTED,LED-29799631,2026-08-03T23:14:12,RB-20260803
TXN-000176,PAY-000176-839,SET-20260803-689064,2293.19,INR,2026-08-03T19:42:02,POSTED,LED-37191416,2026-08-04T05:05:59,RB-20260804
TXN-000177,PAY-000177-883,SET-20260820-406863,1744.97,INR,2026-08-20T03:01:21,POSTED,LED-81673531,2026-08-20T10:55:46,RB-20260820
TXN-000178,PAY-000178-251,SET-20260831-505633,2395.45,INR,2026-08-31T19:51:28,POSTED,LED-20299317,2026-09-01T07:03:59,RB-20260901
TXN-000179,PAY-000179-495,SET-20260805-181613,2288.42,INR,2026-08-05T10:05:36,POSTED,LED-65696932,2026-08-05T14:11:19,RB-20260805
TXN-000180,PAY-000180-393,SET-20260806-130054,470.03,INR,2026-08-06T15:30:20,ACCRUED,LED-11802735,2026-08-07T03:30:20,RB-20260807
TXN-000181,PAY-000181-644,SET-20260814-336462,1584.98,INR,2026-08-14T11:39:23,POSTED,LED-58518317,2026-08-14T20:17:07,RB-20260814
TXN-000182,PAY-000182-548,SET-20260823-645861,1741.13,INR,2026-08-23T17:10:56,POSTED,LED-35473938,2026-08-24T02:38:54,RB-20260824
TXN-000183,PAY-000183-878,SET-20260810-631485,199.14,INR,2026-08-10T05:07:19,POSTED,LED-42894283,2026-08-10T12:00:13,RB-20260810
TXN-000183,PAY-000183-878,SET-20260810-631485,199.14,INR,2026-08-10T05:07:19,DUPLICATE_HOLD,LED-95449304,2026-08-10T12:51:13,RB-20260810
TXN-000184,PAY-000184-349,SET-20260822-170928,304.57,INR,2026-08-22T22:45:45,POSTED,LED-82136007,2026-08-23T06:50:22,RB-20260823
TXN-000185,PAY-000185-207,SET-20260809-807289,1809.82,INR,2026-08-09T22:52:53,POSTED,LED-27763814,2026-08-10T08:19:32,RB-20260810
TXN-000186,PAY-000186-112,SET-20260804-807858,1909.32,INR,2026-08-04T13:10:45,POSTED,LED-64252829,2026-08-04T22:04:53,RB-20260804
