transaction_id,payment_id,settlement_id,amount,currency,timestamp,bank_status,bank_account_id,utr,cleared_at
TXN-000044,PAY-000044-752,SET-20260804-318206,676.48,INR,2026-08-05T03:10:37,SETTLED,BA-3004,UTR283528598540,2026-08-05T03:39:37
TXN-000045,PAY-000045-191,SET-20260812-999884,137.46,INR,2026-08-17T06:58:07,PENDING,BA-3005,UTR172553613292,
TXN-000046,PAY-000046-451,SET-20260817-545443,1421.88,INR,2026-08-18T01:32:21,SETTLED,BA-3009,UTR925992283288,2026-08-18T02:36:21
TXN-000047,PAY-000047-394,SET-20260818-988910,972.25,INR,2026-08-20T04:01:20,PENDING,BA-3007,UTR957233009618,
TXN-000048,PAY-000048-327,SET-20260822-404058,1200.56,INR,2026-08-23T04:59:26,SETTLED,BA-3001,UTR634402527123,2026-08-23T06:01:26
TXN-000049,PAY-000049-650,SET-20260830-926085,1754.09,INR,2026-08-30T23:16:13,SETTLED,BA-3003,UTR412016280354,2026-08-31T00:43:13
TXN-000050,PAY-000050-689,SET-20260808-627398,2440.49,INR,2026-08-08T21:02:07,SETTLED,BA-3009,UTR302351889445,2026-08-08T22:16:07
TXN-000051,PAY-000051-758,SET-20260805-613874,292.66,INR,2026-08-10T15:47:48,PENDING,BA-3009,UTR436745590039,
TXN-000052,PAY-000052-236,SET-20260813-702607,1885.13,INR,2026-08-13T06:58:55,SETTLED,BA-3010,UTR785097382979,2026-08-13T07:41:55
TXN-000053,PAY-000053-556,SET-20260804-334727,715.60,INR,2026-08-04T23:47:42,SETTLED,BA-3001,UTR202421504962,2026-08-05T00:25:42
TXN-000054,PAY-000054-557,SET-20260820-326279,690.26,INR,2026-08-21T00:44:05,SETTLED,BA-3007,UTR741518448004,2026-08-21T00:50:05
TXN-000055,PAY-000055-550,SET-20260822-331410,1771.70,INR,2026-08-22T15:42:49,SETTLED,BA-3003,UTR592964180547,2026-08-22T16:46:49
TXN-000056,PAY-000056-511,SET-20260822-906612,1537.12,INR,2026-08-22T11:54:31,SETTLED,BA-3003,UTR332665427014,2026-08-22T12:48:31
TXN-000057,PAY-000057-609,SET-20260825-253262,121.79,INR,2026-08-25T16:19:56,SETTLED,BA-3006,UTR814180813862,2026-08-25T17:35:56
TXN-000058,PAY-000058-626,SET-20260806-986741,237.73,INR,2026-08-07T00:39:25,SETTLED,BA-3002,UTR990074061676,2026-08-07T01:03:25
TXN-000059,PAY-000059-207,SET-20260825-260635,650.68,INR,2026-08-25T19:06:22,SETTLED,BA-3010,UTR762844634372,2026-08-25T20:12:22
TXN-000060,PAY-000060-906,SET-20260801-413807,2054.82,INR,2026-08-01T16:32:27,SETTLED,BA-3004,UTR490608398010,2026-08-01T17:24:27
TXN-000060,PAY-000060-906,SET-20260801-413807,2054.82,INR,2026-08-01T16:47:27,SETTLED,BA-3004,UTR203438737727,2026-08-01T17:43:27
TXN-000061,PAY-000061-449,SET-20260829-886644,1466.11,INR,2026-09-02T14:51:00,PENDING,BA-3005,UTR807704692100,
TXN-000062,PAY-000062-461,SET-20260807-209754,413.20,INR,2026-08-07T22:47:10,SETTLED,BA-3010,UTR509168944999,2026-08-07T23:14:10
TXN-000063,PAY-000063-884,SET-20260826-228730,431.20,INR,2026-08-27T02:02:43,SETTLED,BA-3003,UTR739754145520,2026-08-27T03:25:43
TXN-000064,PAY-000064-837,SET-20260821-904985,880.62,INR,2026-08-21T17:10:49,SETTLED,BA-3008,UTR745302692650,2026-08-21T17:50:49
TXN-000065,PAY-000065-132,SET-20260821-118049,74.23,INR,2026-08-22T03:01:20,SETTLED,BA-3008,UTR651664351706,2026-08-22T03:23:20
TXN-000066,PAY-000066-597,SET-20260814-868197,437.95,INR,2026-08-14T08:33:43,SETTLED,BA-3009,UTR711901915560,2026-08-14T09:27:43
TXN-000067,PAY-000067-389,SET-20260827-457745,66.52,INR,2026-08-27T08:57:19,SETTLED,BA-3001,UTR922599304176,2026-08-27T10:14:19
TXN-000068,PAY-000068-420,SET-20260815-372903,2415.37,INR,2026-08-15T08:33:00,SETTLED,BA-3007,UTR326291285833,2026-08-15T08:38:00
TXN-000069,PAY-000069-297,SET-20260825-828266,1174.23,INR,2026-08-26T00:45:13,SETTLED,BA-3002,UTR859189521344,2026-08-26T01:21:13
TXN-000070,PAY-000070-545,SET-20260814-204226,1332.71,INR,2026-08-14T22:54:01,SETTLED,BA-3008,UTR171563042940,2026-08-14T23:25:01
TXN-000071,PAY-000071-374,SET-20260819-528064,92.64,INR,2026-08-20T03:33:51,SETTLED,BA-3002,UTR932463931218,2026-08-20T04:24:51
TXN-000072,PAY-000072-852,SET-20260826-244850,1286.14,INR,2026-08-26T10:40:27,SETTLED,BA-3010,UTR534573540723,2026-08-26T11:17:27
TXN-000073,PAY-000073-183,SET-20260822-729611,1667.09,INR,2026-08-22T16:54:18,SETTLED,BA-3002,UTR470904986141,2026-08-22T17:35:18
TXN-000074,PAY-000074-887,SET-20260818-620085,2227.87,INR,2026-08-19T05:01:03,SETTLED,BA-3003,UTR678595895070,2026-08-19T06:04:03
TXN-000075,PAY-000075-635,SET-20260801-987487,121.35,INR,2026-08-02T04:30:27,SETTLED,BA-3001,UTR307828354635,2026-08-02T04:43:27
TXN-000076,PAY-000076-202,SET-20260823-728208,2272.19,INR,2026-08-23T18:05:16,SETTLED,BA-3010,UTR749296453580,2026-08-23T19:20:16
TXN-000077,PAY-000077-167,SET-20260825-621023,1324.79,INR,2026-08-25T16:51:56,SETTLED,BA-3005,UTR892208684625,2026-08-25T17:39:56
TXN-000078,PAY-000078-199,SET-20260901-895447,1726.57,INR,2026-09-01T15:01:39,SETTLED,BA-3009,UTR668259918686,2026-09-01T16:13:39
TXN-000079,PAY-000079-337,SET-20260811-611991,244.73,INR,2026-08-12T01:23:17,SETTLED,BA-3008,UTR845757334188,2026-08-12T02:15:17
TXN-000080,PAY-000080-758,SET-20260808-568924,1990.68,INR,2026-08-08T16:18:12,SETTLED,BA-3008,UTR543219054763,2026-08-08T17:08:12
TXN-000081,PAY-000081-368,SET-20260820-369248,1210.48,INR,2026-08-21T06:38:12,SETTLED,BA-3004,UTR865034034353,2026-08-21T06:49:12
TXN-000082,PAY-000082-732,SET-20260829-540978,1232.02,INR,2026-08-29T16:01:07,SETTLED,BA-3005,UTR419307187429,2026-08-29T17:09:07
TXN-000085,PAY-000085-242,SET-20260819-702993,1792.05,INR,2026-08-20T02:52:19,SETTLED,BA-3004,UTR579719186870,2026-08-20T03:35:19
TXN-000087,PAY-000087-652,SET-20260830-605511,2189.97,INR,2026-08-31T07:12:02,SETTLED,BA-3001,UTR742286585256,2026-08-31T08:15:02
TXN-000088,PAY-000088-633,SET-20260815-268344,1609.30,INR,2026-08-15T13:23:50,SETTLED,BA-3003,UTR309206912160,2026-08-15T14:10:50
TXN-000089,PAY-000089-495,SET-20260815-521763,606.89,INR,2026-08-15T14:43:53,SETTLED,BA-3003,UTR447973978054,2026-08-15T15:06:53
TXN-000089,PAY-000089-495,SET-20260815-521763,606.89,INR,2026-08-15T14:47:53,SETTLED,BA-3003,UTR239780027819,2026-08-15T15:49:53
TXN-000090,PAY-000090-750,SET-20260808-899236,1505.82,INR,2026-08-08T20:22:25,SETTLED,BA-3003,UTR545009735939,2026-08-08T21:51:25
TXN-000091,PAY-000091-432,SET-20260805-677167,2198.57,INR,2026-08-05T17:39:27,SETTLED,BA-3008,UTR504606189150,2026-08-05T19:00:27
TXN-000092,PAY-000092-211,SET-20260829-657017,2229.45,INR,2026-08-29T21:17:59,SETTLED,BA-3003,UTR837644402150,2026-08-29T22:26:59
TXN-000093,PAY-000093-639,SET-20260821-185628,2179.95,INR,2026-08-21T14:16:51,SETTLED,BA-3010,UTR327869343202,2026-08-21T14:37:51
TXN-000094,PAY-000094-448,SET-20260806-151866,1738.20,INR,2026-08-06T13:09:22,SETTLED,BA-3003,UTR358913135449,2026-08-06T14:13:22
TXN-000096,PAY-000096-214,SET-20260806-507332,2453.98,INR,2026-08-06T19:36:01,SETTLED,BA-3001,UTR141650925375,2026-08-06T19:45:01
TXN-000097,PAY-000097-465,SET-20260811-703424,2375.66,INR,2026-08-12T08:26:53,SETTLED,BA-3002,UTR663404132334,2026-08-12T09:04:53
TXN-000098,PAY-000098-380,SET-20260828-820095,81.29,INR,2026-08-28T08:23:49,SETTLED,BA-3002,UTR186211239577,2026-08-28T09:21:49
TXN-000099,PAY-000099-802,SET-20260804-395119,1162.14,INR,2026-08-04T15:32:41,SETTLED,BA-3009,UTR828251943455,2026-08-04T16:45:41
TXN-000100,PAY-000100-743,SET-20260813-326022,942.64,INR,2026-08-13T16:00:40,SETTLED,BA-3002,UTR987448463832,2026-08-13T17:27:40
TXN-000102,PAY-000102-598,SET-20260812-161242,125.51,INR,2026-08-12T23:37:37,SETTLED,BA-3010,UTR676239873324,2026-08-13T00:35:37
TXN-000103,PAY-000103-200,SET-20260806-113840,1106.76,INR,2026-08-07T00:28:01,SETTLED,BA-3010,UTR871762396964,2026-08-07T00:42:01
TXN-000104,PAY-000104-188,SET-20260809-165654,1644.84,INR,2026-08-10T09:33:27,SETTLED,BA-3003,UTR753229709134,2026-08-10T11:01:27
TXN-000105,PAY-000105-666,SET-20260802-744624,2393.53,INR,2026-08-03T06:28:36,SETTLED,BA-3002,UTR958508130997,2026-08-03T07:20:36
TXN-000106,PAY-000106-804,SET-20260812-117929,2058.94,INR,2026-08-12T11:53:14,SETTLED,BA-3008,UTR167085918131,2026-08-12T12:11:14
TXN-000107,PAY-000107-969,SET-20260818-360661,1759.36,INR,2026-08-18T15:10:16,SETTLED,BA-3003,UTR708216213197,2026-08-18T16:13:16
TXN-000108,PAY-000108-715,SET-20260811-142504,683.10,INR,2026-08-11T19:34:30,SETTLED,BA-3010,UTR201760464614,2026-08-11T20:09:30
TXN-000110,PAY-000110-617,SET-20260805-927183,1044.36,INR,2026-08-05T21:57:12,SETTLED,BA-3008,UTR721723361011,2026-08-05T22:19:12
TXN-000111,PAY-000111-815,SET-20260825-644332,1616.83,INR,2026-08-25T14:31:51,SETTLED,BA-3010,UTR273640638598,2026-08-25T15:39:51
TXN-000112,PAY-000112-160,SET-20260817-235865,273.41,INR,2026-08-22T08:22:28,PENDING,BA-3010,UTR398634867237,
TXN-000114,PAY-000114-111,SET-20260827-776012,1972.09,INR,2026-08-27T08:29:19,SETTLED,BA-3007,UTR346341060912,2026-08-27T09:45:19
TXN-000116,PAY-000116-198,SET-20260828-609073,1297.56,INR,2026-08-29T02:51:18,SETTLED,BA-3007,UTR201017851114,2026-08-29T04:06:18
TXN-000117,PAY-000117-603,SET-20260812-799090,2341.29,INR,2026-08-12T15:22:11,SETTLED,BA-3002,UTR894688297353,2026-08-12T16:32:11
TXN-000118,PAY-000118-770,SET-20260811-457688,1231.01,INR,2026-08-11T13:53:01,SETTLED,BA-3010,UTR604857082228,2026-08-11T15:05:01
TXN-000119,PAY-000119-854,SET-20260818-682565,735.49,INR,2026-08-18T09:24:16,SETTLED,BA-3002,UTR776690670744,2026-08-18T10:17:16
TXN-000122,PAY-000122-490,SET-20260807-202215,1654.86,INR,2026-08-07T12:45:11,SETTLED,BA-3006,UTR340270058321,2026-08-07T13:29:11
TXN-000123,PAY-000123-219,SET-20260819-565904,1772.40,INR,2026-08-20T03:10:39,SETTLED,BA-3002,UTR636825781387,2026-08-20T03:44:39
TXN-000124,PAY-000124-716,SET-20260818-816561,149.14,INR,2026-08-18T19:52:15,SETTLED,BA-3009,UTR856908090634,2026-08-18T20:34:15
TXN-000125,PAY-000125-645,SET-20260819-625354,1759.48,INR,2026-08-19T11:38:16,SETTLED,BA-3001,UTR187157192408,2026-08-19T12:13:16
TXN-000126,PAY-000126-955,SET-20260804-789431,1524.15,INR,2026-08-05T02:08:18,SETTLED,BA-3005,UTR966361859191,2026-08-05T02:39:18
TXN-000127,PAY-000127-829,SET-20260806-405194,1013.56,INR,2026-08-07T03:39:15,SETTLED,BA-3001,UTR383565615590,2026-08-07T03:48:15
TXN-000128,PAY-000128-581,SET-20260829-688393,559.47,INR,2026-08-30T03:42:20,SETTLED,BA-3008,UTR524629764901,2026-08-30T04:40:20
TXN-000129,PAY-000129-480,SET-20260816-133050,2002.62,INR,2026-08-17T03:14:31,SETTLED,BA-3001,UTR522853733163,2026-08-17T04:25:31
TXN-000130,PAY-000130-299,SET-20260807-978761,1053.18,INR,2026-08-09T23:03:06,PENDING,BA-3006,UTR911486996290,
TXN-000131,PAY-000131-825,SET-20260815-641052,924.83,INR,2026-08-15T23:09:01,SETTLED,BA-3003,UTR954578928312,2026-08-15T23:32:01
TXN-000132,PAY-000132-193,SET-20260826-642596,2494.44,INR,2026-08-27T01:26:26,SETTLED,BA-3001,UTR139018965961,2026-08-27T02:08:26
TXN-000133,PAY-000133-959,SET-20260814-376307,1891.25,INR,2026-08-14T14:41:33,SETTLED,BA-3005,UTR222660116223,2026-08-14T14:55:33
TXN-000134,PAY-000134-555,SET-20260818-231008,200.75,INR,2026-08-18T18:09:26,SETTLED,BA-3002,UTR787007387406,2026-08-18T18:18:26
TXN-000135,PAY-000135-560,SET-20260811-972072,1212.86,INR,2026-08-11T13:00:40,SETTLED,BA-3002,UTR890918080332,2026-08-11T13:53:40
TXN-000136,PAY-000136-492,SET-20260817-562154,1925.75,INR,2026-08-17T11:47:19,SETTLED,BA-3009,UTR142164816872,2026-08-17T12:29:19
TXN-000137,PAY-000137-150,SET-20260822-585828,2114.50,INR,2026-08-26T05:21:23,PENDING,BA-3005,UTR699633857956,
TXN-000138,PAY-000138-619,SET-20260814-133462,1971.07,INR,2026-08-14T13:18:12,SETTLED,BA-3010,UTR881974750416,2026-08-14T13:45:12
TXN-000139,PAY-000139-476,SET-20260818-213516,655.09,INR,2026-08-20T20:26:22,PENDING,BA-3007,UTR669982362226,
TXN-000140,PAY-000140-276,SET-20260805-967879,1565.68,INR,2026-08-05T11:29:47,SETTLED,BA-3006,UTR607087374264,2026-08-05T12:24:47
TXN-000141,PAY-000141-787,SET-20260806-320142,2278.57,INR,2026-08-07T05:11:40,SETTLED,BA-3009,UTR241282520164,2026-08-07T06:28:40
TXN-000142,PAY-000142-683,SET-20260823-130941,1789.70,INR,2026-08-24T01:28:32,SETTLED,BA-3007,UTR142490382834,2026-08-24T02:39:32
TXN-000143,PAY-000143-754,SET-20260824-453099,2034.86,INR,2026-08-24T21:56:17,SETTLED,BA-3007,UTR521034431319,2026-08-24T22:01:17
TXN-000144,PAY-000144-747,SET-20260819-684882,31.26,INR,2026-08-20T06:08:06,SETTLED,BA-3004,UTR574075584467,2026-08-20T07:03:06
TXN-000145,PAY-000145-759,SET-20260814-528081,2377.59,INR,2026-08-14T14:00:51,SETTLED,BA-3005,UTR187843825213,2026-08-14T14:27:51
TXN-000146,PAY-000146-460,SET-20260803-566995,2054.28,INR,2026-08-03T08:58:30,SETTLED,BA-3001,UTR452411892982,2026-08-03T09:08:30
TXN-000147,PAY-000147-242,SET-20260801-302140,681.45,INR,2026-08-01T23:51:44,SETTLED,BA-3008,UTR223337958699,2026-08-02T00:40:44
TXN-000148,PAY-000148-385,SET-20260820-576961,1612.71,INR,2026-08-20T05:52:59,SETTLED,BA-3007,UTR945989319241,2026-08-20T06:04:59
TXN-000149,PAY-000149-577,SET-20260825-696144,511.46,INR,2026-08-25T08:20:14,SETTLED,BA-3001,UTR332994326168,2026-08-25T09:13:14
TXN-000150,PAY-000150-199,SET-20260816-292497,2082.00,INR,2026-08-16T18:37:58,SETTLED,BA-3004,UTR972067745419,2026-08-16T18:55:58
TXN-000151,PAY-000151-584,SET-20260812-409249,454.12,INR,2026-08-13T10:01:41,SETTLED,BA-3001,UTR866373111844,2026-08-13T10:25:41
TXN-000152,PAY-000152-969,SET-20260807-561864,574.58,INR,2026-08-08T00:37:46,SETTLED,BA-3004,UTR257088484649,2026-08-08T02:07:46
TXN-000153,PAY-000153-725,SET-20260831-364960,1641.01,INR,2026-09-01T05:16:53,SETTLED,BA-3002,UTR185219121105,2026-09-01T06:25:53
TXN-000154,PAY-000154-567,SET-20260824-801005,1311.64,INR,2026-08-24T11:37:06,SETTLED,BA-3005,UTR667334145118,2026-08-24T12:23:06
TXN-000155,PAY-000155-779,SET-20260807-786213,2428.47,INR,2026-08-11T08:41:50,PENDING,BA-3007,UTR377879547808,
TXN-000157,PAY-000157-402,SET-20260803-557242,752.03,INR,2026-08-05T06:22:54,PENDING,BA-3001,UTR922360696089,
TXN-000158,PAY-000158-486,SET-20260814-576461,1897.46,INR,2026-08-15T04:10:07,SETTLED,BA-3009,UTR121534524623,2026-08-15T04:41:07
TXN-000158,PAY-000158-486,SET-20260814-576461,1897.46,INR,2026-08-15T04:14:07,SETTLED,BA-3009,UTR207889126053,2026-08-15T05:23:07
TXN-000159,PAY-000159-236,SET-20260813-908915,1460.77,INR,2026-08-14T01:05:54,SETTLED,BA-3009,UTR394201583022,2026-08-14T02:27:54
TXN-000160,PAY-000160-140,SET-20260817-947341,686.68,INR,2026-08-17T22:13:14,SETTLED,BA-3008,UTR700960783920,2026-08-17T23:08:14
TXN-000161,PAY-000161-854,SET-20260824-696888,952.93,INR,2026-08-25T01:46:08,SETTLED,BA-3005,UTR114004593710,2026-08-25T02:10:08
TXN-000162,PAY-000162-480,SET-20260815-906226,1358.21,INR,2026-08-15T12:42:27,SETTLED,BA-3004,UTR125989362317,2026-08-15T13:14:27
TXN-000163,PAY-000163-247,SET-20260817-635433,1673.30,INR,2026-08-17T21:10:32,SETTLED,BA-3006,UTR518428150489,2026-08-17T22:12:32
TXN-000164,PAY-000164-941,SET-20260830-384609,1544.31,INR,2026-08-31T00:20:48,SETTLED,BA-3008,UTR394334973728,2026-08-31T01:01:48
TXN-000165,PAY-000165-322,SET-20260811-269116,1365.81,INR,2026-08-12T00:35:35,SETTLED,BA-3010,UTR615910940144,2026-08-12T00:50:35
TXN-000166,PAY-000166-530,SET-20260826-235177,2137.25,INR,2026-08-27T03:23:03,SETTLED,BA-3006,UTR318107643662,2026-08-27T04:41:03
TXN-000167,PAY-000167-241,SET-20260823-744765,1985.64,INR,2026-08-24T01:30:22,SETTLED,BA-3004,UTR819366980749,2026-08-24T01:47:22
TXN-000168,PAY-000168-483,SET-20260803-559279,2498.81,INR,2026-08-07T06:58:47,PENDING,BA-3006,UTR564472975028,
TXN-000169,PAY-000169-880,SET-20260822-620122,2269.41,INR,2026-08-25T23:17:07,PENDING,BA-3010,UTR936803646040,
TXN-000170,PAY-000170-172,SET-20260823-515921,2127.75,INR,2026-08-23T19:06:56,SETTLED,BA-3002,UTR833280796823,2026-08-23T19:37:56
TXN-000171,PAY-000171-349,SET-20260811-338151,1811.91,INR,2026-08-11T21:31:14,SETTLED,BA-3005,UTR249804092049,2026-08-11T22:55:14
TXN-000172,PAY-000172-865,SET-20260807-276646,157.70,INR,2026-08-07T15:22:48,SETTLED,BA-3007,UTR255784067150,2026-08-07T16:26:48
TXN-000173,PAY-000173-624,SET-20260813-884391,1480.87,INR,2026-08-13T10:16:31,SETTLED,BA-3007,UTR751940155741,2026-08-13T11:08:31
TXN-000174,PAY-000174-621,SET-20260827-881628,2164.13,INR,2026-09-01T03:08:25,PENDING,BA-3002,UTR827140568310,
TXN-000175,PAY-000175-580,SET-20260803-116826,2402.36,INR,2026-08-03T22:28:12,SETTLED,BA-3006,UTR995374264229,2026-08-03T23:44:12
TXN-000176,PAY-000176-839,SET-20260803-689064,2293.19,INR,2026-08-04T01:38:59,SETTLED,BA-3001,UTR717168085675,2026-08-04T02:25:59
TXN-000178,PAY-000178-251,SET-20260831-505633,2395.45,INR,2026-09-01T03:51:59,SETTLED,BA-3002,UTR469311781945,2026-09-01T04:31:59
TXN-000179,PAY-000179-495,SET-20260805-181613,2288.42,INR,2026-08-05T18:11:19,SETTLED,BA-3005,UTR428842496834,2026-08-05T19:34:19
TXN-000180,PAY-000180-393,SET-20260806-130054,470.03,INR,2026-08-11T17:00:20,PENDING,BA-3008,UTR249559321340,
TXN-000181,PAY-000181-644,SET-20260814-336462,1584.98,INR,2026-08-14T14:43:07,SETTLED,BA-3005,UTR648721942443,2026-08-14T15:55:07
TXN-000182,PAY-000182-548,SET-20260823-645861,1741.13,INR,2026-08-24T04:57:54,SETTLED,BA-3010,UTR428180529846,2026-08-24T05:55:54
TXN-000183,PAY-000183-878,SET-20260810-631485,199.14,INR,2026-08-10T16:23:13,SETTLED,BA-3001,UTR855056174722,2026-08-10T17:48:13
TXN-000183,PAY-000183-878,SET-20260810-631485,199.14,INR,2026-08-10T16:53:13,SETTLED,BA-3001,UTR927731462334,2026-08-10T18:03:13
TXN-000184,PAY-000184-349,SET-20260822-170928,304.57,INR,2026-08-23T03:41:22,SETTLED,BA-3003,UTR495748929532,2026-08-23T04:04:22
TXN-000185,PAY-000185-207,SET-20260809-807289,1809.82,INR,2026-08-10T02:00:32,SETTLED,BA-3001,UTR776066501131,2026-08-10T02:46:32
TXN-000186,PAY-000186-112,SET-20260804-807858,1909.32,INR,2026-08-04T16:46:53,SETTLED,BA-3009,UTR443437951700,2026-08-04T16:54:53
