transaction_id,payment_id,settlement_id,amount,currency,timestamp,gateway_status,payment_method,merchant_id,gateway_reference,settlement_initiated_at
TXN-000021,PAY-000021-184,SET-20260803-219529,1262.99,INR,2026-08-03T08:12:09,CAPTURED,NETBANKING,MID-1004,GW-96299442,2026-08-03T11:57:43
TXN-000022,PAY-000022-146,SET-20260806-228616,159.18,INR,2026-08-06T16:43:59,CAPTURED,WALLET,MID-1021,GW-10017375,2026-08-06T17:41:33
TXN-000023,PAY-000023-180,SET-20260820-261790,2237.78,INR,2026-08-20T23:38:05,CAPTURED,WALLET,MID-1020,GW-59493295,2026-08-21T03:13:47
TXN-000024,PAY-000024-343,SET-20260812-492135,1064.94,INR,2026-08-12T04:33:18,CAPTURED,UPI,MID-1004,GW-53814483,2026-08-12T05:21:53
TXN-000025,PAY-000025-895,SET-20260816-374190,456.83,INR,2026-08-16T21:01:00,CAPTURED,WALLET,MID-1021,GW-18785508,2026-08-16T23:39:55
TXN-000026,PAY-000026-309,SET-20260829-638696,297.52,INR,2026-08-29T01:43:04,CAPTURED,UPI,MID-1006,GW-18131628,2026-08-29T02:06:38
TXN-000027,PAY-000027-540,SET-20260831-828626,512.44,INR,2026-08-31T14:36:28,CAPTURED,UPI,MID-1023,GW-47594342,2026-08-31T16:19:47
TXN-000028,PAY-000028-114,SET-20260830-758542,13.07,INR,2026-08-30T05:30:16,CAPTURED,NETBANKING,MID-1004,GW-45143959,2026-08-30T08:11:15
TXN-000029,PAY-000029-830,SET-20260810-955635,583.87,INR,2026-08-10T06:38:04,CAPTURED,UPI,MID-1002,GW-60150271,2026-08-10T10:37:47
TXN-000030,PAY-000030-121,SET-20260817-149439,2070.80,INR,2026-08-17T21:37:12,CAPTURED,NETBANKING,MID-1024,GW-56362496,2026-08-17T23:47:03
TXN-000031,PAY-000031-272,SET-20260810-640578,1811.71,INR,2026-08-10T23:17:53,CAPTURED,CARD,MID-1025,GW-17588075,2026-08-10T23:47:26
TXN-000032,PAY-000032-525,SET-20260827-653702,112.74,INR,2026-08-27T06:35:40,CAPTURED,UPI,MID-1007,GW-24081700,2026-08-27T07:09:48
TXN-000033,PAY-000033-809,SET-20260820-630256,414.35,INR,2026-08-20T23:20:24,CAPTURED,CARD,MID-1007,GW-69754190,2026-08-21T01:37:24
TXN-000034,PAY-000034-409,SET-20260807-972810,746.85,INR,2026-08-07T19:31:33,CAPTURED,CARD,MID-1001,GW-29183921,2026-08-07T22:53:22
TXN-000035,PAY-000035-239,SET-20260815-213145,1669.09,INR,2026-08-15T15:30:18,CAPTURED,NETBANKING,MID-1005,GW-22127967,2026-08-15T15:46:06
TXN-000036,PAY-000036-841,SET-20260819-249087,258.88,INR,2026-08-19T22:07:47,CAPTURE_REVERSED,CARD,MID-1006,GW-83576019,2026-08-20T00:25:01
TXN-000037,PAY-000037-175,SET-20260808-962263,1319.41,INR,2026-08-08T01:15:08,CAPTURED,CARD,MID-1009,GW-23899796,2026-08-08T02:15:40
TXN-000038,PAY-000038-262,SET-20260831-358206,2073.55,INR,2026-08-31T12:17:57,CAPTURED,UPI,MID-1013,GW-45268749,2026-08-31T12:41:49
TXN-000039,PAY-000039-685,SET-20260822-181073,1100.36,INR,2026-08-22T16:48:25,CAPTURED,CARD,MID-1021,GW-14801672,2026-08-22T20:47:06
TXN-000040,PAY-000040-162,SET-20260820-318772,203.10,INR,2026-08-20T03:45:56,CAPTURED,CARD,MID-1024,GW-57303582,2026-08-20T04:49:42
TXN-000041,PAY-000041-977,SET-20260822-426396,389.16,INR,2026-08-22T20:33:58,CAPTURED,CARD,MID-1006,GW-13778179,2026-08-23T00:24:45
TXN-000042,PAY-000042-394,SET-20260822-190832,1477.58,INR,2026-08-22T08:03:50,CAPTURED,WALLET,MID-1024,GW-74550890,2026-08-22T09:48:00
TXN-000043,PAY-000043-465,SET-20260829-119296,2433.60,INR,2026-08-29T17:49:00,CAPTURED,UPI,MID-1011,GW-47024442,2026-08-29T18:43:20
TXN-000044,PAY-000044-752,SET-20260804-318206,676.48,INR,2026-08-04T22:16:06,CAPTURED,UPI,MID-1014,GW-51014875,2026-08-05T00:34:37
TXN-000045,PAY-000045-191,SET-20260812-999884,137.46,INR,2026-08-12T04:57:07,CAPTURED,NETBANKING,MID-1013,GW-48291474,2026-08-12T07:35:42
TXN-000046,PAY-000046-451,SET-20260817-545443,1421.88,INR,2026-08-17T23:13:28,CAPTURED,UPI,MID-1011,GW-72231036,2026-08-18T00:19:21
TXN-000047,PAY-000047-394,SET-20260818-988910,972.25,INR,2026-08-18T03:12:20,CAPTURED,CARD,MID-1019,GW-73899260,2026-08-18T04:53:52
TXN-000048,PAY-000048-327,SET-20260822-404058,1200.56,INR,2026-08-22T18:11:45,CAPTURED,WALLET,MID-1013,GW-52410328,2026-08-22T21:03:26
TXN-000049,PAY-000049-650,SET-20260830-926085,1754.09,INR,2026-08-30T19:23:55,CAPTURED,NETBANKING,MID-1001,GW-66417819,2026-08-30T21:55:13
TXN-000050,PAY-000050-689,SET-20260808-627398,2440.49,INR,2026-08-08T13:34:31,CAPTURED,UPI,MID-1024,GW-33469941,2026-08-08T16:02:07
TXN-000051,PAY-000051-758,SET-20260805-613874,292.66,INR,2026-08-05T12:16:48,CAPTURED,WALLET,MID-1019,GW-40541225,2026-08-05T16:08:09
TXN-000052,PAY-000052-236,SET-20260813-702607,1885.13,INR,2026-08-13T05:18:10,CAPTURED,NETBANKING,MID-1004,GW-16004960,2026-08-13T05:42:55
TXN-000053,PAY-000053-556,SET-20260804-334727,715.60,INR,2026-08-04T15:51:13,CAPTURED,CARD,MID-1012,GW-72533551,2026-08-04T16:58:42
TXN-000054,PAY-000054-557,SET-20260820-326279,690.26,INR,2026-08-20T19:51:43,CAPTURED,NETBANKING,MID-1015,GW-12550677,2026-08-20T20:50:05
TXN-000055,PAY-000055-550,SET-20260822-331410,1771.70,INR,2026-08-22T10:42:42,CAPTURED,UPI,MID-1021,GW-49402687,2026-08-22T11:36:49
TXN-000056,PAY-000056-511,SET-20260822-906612,1537.12,INR,2026-08-22T03:05:05,CAPTURED,NETBANKING,MID-1002,GW-75588797,2026-08-22T06:25:31
TXN-000057,PAY-000057-609,SET-20260825-253262,121.79,INR,2026-08-25T12:15:09,CAPTURED,UPI,MID-1025,GW-70344560,2026-08-25T13:47:56
TXN-000058,PAY-000058-626,SET-20260806-986741,237.73,INR,2026-08-06T20:26:28,CAPTURED,NETBANKING,MID-1010,GW-48186658,2026-08-06T21:13:25
TXN-000059,PAY-000059-207,SET-20260825-260635,650.68,INR,2026-08-25T12:28:33,CAPTURED,CARD,MID-1006,GW-18138160,2026-08-25T13:18:22
TXN-000060,PAY-000060-906,SET-20260801-413807,2054.82,INR,2026-08-01T10:00:21,CAPTURED,CARD,MID-1008,GW-40968857,2026-08-01T10:20:27
TXN-000061,PAY-000061-449,SET-20260829-886644,1466.11,INR,2026-08-29T14:27:00,CAPTURED,CARD,MID-1024,GW-33697175,2026-08-29T17:15:50
TXN-000062,PAY-000062-461,SET-20260807-209754,413.20,INR,2026-08-07T12:35:55,CAPTURED,UPI,MID-1022,GW-75722648,2026-08-07T13:49:10
TXN-000063,PAY-000063-884,SET-20260826-228730,431.20,INR,2026-08-26T20:16:52,CAPTURED,UPI,MID-1013,GW-91981043,2026-08-26T20:37:43
TXN-000064,PAY-000064-837,SET-20260821-904985,880.62,INR,2026-08-21T08:55:04,CAPTURED,UPI,MID-1006,GW-27342100,2026-08-21T09:21:49
TXN-000065,PAY-000065-132,SET-20260821-118049,74.23,INR,2026-08-21T22:02:14,CAPTURED,UPI,MID-1003,GW-77130780,2026-08-21T23:56:20
TXN-000066,PAY-000066-597,SET-20260814-868197,437.95,INR,2026-08-14T02:34:51,CAPTURED,NETBANKING,MID-1019,GW-59604264,2026-08-14T03:33:43
TXN-000067,PAY-000067-389,SET-20260827-457745,66.52,INR,2026-08-27T03:43:35,CAPTURED,WALLET,MID-1001,GW-82734307,2026-08-27T04:19:19
TXN-000068,PAY-000068-420,SET-20260815-372903,2415.37,INR,2026-08-15T05:45:03,CAPTURED,NETBANKING,MID-1004,GW-85833560,2026-08-15T06:29:00
TXN-000069,PAY-000069-297,SET-20260825-828266,1174.23,INR,2026-08-25T20:03:16,CAPTURED,NETBANKING,MID-1022,GW-28903712,2026-08-25T20:49:13
TXN-000070,PAY-000070-545,SET-20260814-204226,1332.71,INR,2026-08-14T13:38:15,CAPTURED,CARD,MID-1010,GW-95458537,2026-08-14T16:44:01
TXN-000071,PAY-000071-374,SET-20260819-528064,92.64,INR,2026-08-19T18:58:49,CAPTURED,UPI,MID-1019,GW-81414235,2026-08-19T21:21:51
TXN-000072,PAY-000072-852,SET-20260826-244850,1286.14,INR,2026-08-26T02:35:38,CAPTURED,UPI,MID-1021,GW-97541021,2026-08-26T04:47:27
TXN-000073,PAY-000073-183,SET-20260822-729611,1667.09,INR,2026-08-22T09:25:34,CAPTURED,CARD,MID-1001,GW-53085324,2026-08-22T12:42:18
TXN-000074,PAY-000074-887,SET-20260818-620085,2227.87,INR,2026-08-18T21:13:22,CAPTURED,WALLET,MID-1013,GW-55427679,2026-08-19T00:51:03
TXN-000075,PAY-000075-635,SET-20260801-987487,121.35,INR,2026-08-01T17:45:34,CAPTURED,NETBANKING,MID-1015,GW-89580999,2026-08-01T20:13:27
TXN-000076,PAY-000076-202,SET-20260823-728208,2272.19,INR,2026-08-23T06:20:35,CAPTURED,WALLET,MID-1013,GW-20784980,2026-08-23T09:53:16
TXN-000077,PAY-000077-167,SET-20260825-621023,1324.79,INR,2026-08-25T05:32:33,CAPTURED,WALLET,MID-1013,GW-70266472,2026-08-25T08:28:56
TXN-000078,PAY-000078-199,SET-20260901-895447,1726.57,INR,2026-09-01T06:04:01,CAPTURED,NETBANKING,MID-1005,GW-78789687,2026-09-01T07:48:39
TXN-000079,PAY-000079-337,SET-20260811-611991,244.73,INR,2026-08-11T19:28:31,CAPTURED,NETBANKING,MID-1025,GW-19503421,2026-08-11T22:16:17
TXN-000080,PAY-000080-758,SET-20260808-568924,1990.68,INR,2026-08-08T06:12:48,CAPTURED,WALLET,MID-1022,GW-71939186,2026-08-08T09:47:12
TXN-000081,PAY-000081-368,SET-20260820-369248,1210.48,INR,2026-08-20T22:44:19,CAPTURED,UPI,MID-1005,GW-97082790,2026-08-20T23:01:12
TXN-000082,PAY-000082-732,SET-20260829-540978,1232.02,INR,2026-08-29T12:57:29,CAPTURED,CARD,MID-1023,GW-35296754,2026-08-29T13:43:07
TXN-000083,PAY-000083-580,SET-20260804-654442,2113.72,INR,2026-08-04T00:55:42,CAPTURED,CARD,MID-1012,GW-49461551,2026-08-04T02:10:21
TXN-000084,PAY-000084-320,,1229.43,INR,2026-08-12T08:54:43,CAPTURED_UNSETTLED,UPI,MID-1019,GW-36665275,
TXN-000085,PAY-000085-242,SET-20260819-702993,1792.05,INR,2026-08-19T17:55:18,CAPTURED,UPI,MID-1007,GW-26496389,2026-08-19T18:15:19
TXN-000086,PAY-000086-878,SET-20260809-267909,504.04,INR,2026-08-09T22:12:38,CAPTURED,WALLET,MID-1011,GW-70616747,2026-08-09T23:07:54
TXN-000087,PAY-000087-652,SET-20260830-605511,2179.97,INR,2026-08-30T22:20:49,CAPTURED,CARD,MID-1025,GW-29247060,2026-08-30T23:47:02
TXN-000088,PAY-000088-633,SET-20260815-268344,1609.30,INR,2026-08-15T09:04:56,CAPTURED,WALLET,MID-1017,GW-43386746,2026-08-15T12:23:50
TXN-000089,PAY-000089-495,SET-20260815-521763,606.89,INR,2026-08-15T10:34:28,CAPTURED,UPI,MID-1014,GW-52171291,2026-08-15T12:45:53
TXN-000090,PAY-000090-750,SET-20260808-899236,1505.82,INR,2026-08-08T09:56:34,CAPTURED,NETBANKING,MID-1017,GW-19754482,2026-08-08T13:44:25
TXN-000091,PAY-000091-432,SET-20260805-677167,2198.57,INR,2026-08-05T09:54:19,CAPTURED,NETBANKING,MID-1005,GW-80001068,2026-08-05T11:14:27
TXN-000092,PAY-000092-211,SET-20260829-657017,2229.45,INR,2026-08-29T14:21:36,CAPTURED,WALLET,MID-1023,GW-56286872,2026-08-29T15:08:59
TXN-000093,PAY-000093-639,SET-20260821-185628,2179.95,INR,2026-08-21T07:42:48,CAPTURED,UPI,MID-1004,GW-17944951,2026-08-21T08:25:51
TXN-000094,PAY-000094-448,SET-20260806-151866,1738.20,INR,2026-08-06T02:58:49,CAPTURED,UPI,MID-1011,GW-18581996,2026-08-06T04:30:22
TXN-000095,PAY-000095-241,SET-20260824-731980,1730.20,INR,2026-08-24T20:14:24,CAPTURED,WALLET,MID-1014,GW-20408929,2026-08-24T22:46:44
TXN-000096,PAY-000096-214,SET-20260806-507332,2453.98,INR,2026-08-06T13:43:33,CAPTURED,WALLET,MID-1016,GW-63418074,2026-08-06T16:26:01
TXN-000097,PAY-000097-465,SET-20260811-703424,2365.66,INR,2026-08-11T23:03:43,CAPTURED,UPI,MID-1010,GW-56474173,2026-08-12T00:25:53
TXN-000098,PAY-000098-380,SET-20260828-820095,81.29,INR,2026-08-28T05:18:08,CAPTURED,CARD,MID-1025,GW-60355949,2026-08-28T06:06:49
TXN-000099,PAY-000099-802,SET-20260804-395119,1162.14,INR,2026-08-04T09:02:57,CAPTURED,UPI,MID-1020,GW-76637473,2026-08-04T11:18:41
TXN-000100,PAY-000100-743,SET-20260813-326022,942.64,INR,2026-08-13T10:51:34,CAPTURED,UPI,MID-1010,GW-62837250,2026-08-13T14:09:40
TXN-000101,PAY-000101-214,SET-20260808-218982,1588.20,INR,2026-08-08T02:56:09,CAPTURED,WALLET,MID-1013,GW-52227155,2026-08-08T04:05:51
TXN-000102,PAY-000102-598,SET-20260812-161242,125.51,INR,2026-08-12T11:48:27,CAPTURED,WALLET,MID-1024,GW-13772538,2026-08-12T15:40:37
TXN-000103,PAY-000103-200,SET-20260806-113840,1106.76,INR,2026-08-06T20:42:22,CAPTURED,WALLET,MID-1006,GW-62870596,2026-08-06T20:57:01
TXN-000104,PAY-000104-188,SET-20260809-165654,1644.84,INR,2026-08-09T23:58:44,CAPTURED,NETBANKING,MID-1003,GW-55330489,2026-08-10T03:26:27
TXN-000105,PAY-000105-666,SET-20260802-744624,2393.53,INR,2026-08-02T19:54:20,CAPTURED,CARD,MID-1008,GW-62681746,2026-08-02T21:54:36
TXN-000106,PAY-000106-804,SET-20260812-117929,2058.94,INR,2026-08-12T00:52:41,CAPTURED,UPI,MID-1023,GW-32126089,2026-08-12T04:45:14
TXN-000107,PAY-000107-969,SET-20260818-360661,1759.36,INR,2026-08-18T07:54:52,CAPTURED,WALLET,MID-1007,GW-72140588,2026-08-18T11:43:16
TXN-000108,PAY-000108-715,SET-20260811-142504,683.10,INR,2026-08-11T11:56:44,CAPTURED,NETBANKING,MID-1006,GW-49412179,2026-08-11T14:03:30
TXN-000109,PAY-000109-317,,2258.82,INR,2026-08-14T11:37:35,CAPTURED_UNSETTLED,CARD,MID-1020,GW-51261603,
TXN-000110,PAY-000110-617,SET-20260805-927183,1044.36,INR,2026-08-05T12:30:36,CAPTURED,NETBANKING,MID-1007,GW-56455193,2026-08-05T15:40:12
TXN-000111,PAY-000111-815,SET-20260825-644332,1616.83,INR,2026-08-25T11:14:58,CAPTURED,NETBANKING,MID-1025,GW-67199371,2026-08-25T12:39:51
TXN-000112,PAY-000112-160,SET-20260817-235865,273.41,INR,2026-08-17T04:56:28,CAPTURED,UPI,MID-1009,GW-53937316,2026-08-17T07:43:24
TXN-000113,PAY-000113-163,SET-20260819-156224,499.36,INR,2026-08-19T21:18:25,CAPTURED,CARD,MID-1009,GW-26290595,2026-08-19T23:54:39
TXN-000114,PAY-000114-111,SET-20260827-776012,1972.09,INR,2026-08-27T01:56:19,CAPTURED,UPI,MID-1009,GW-29520087,2026-08-27T05:06:19
TXN-000115,PAY-000115-926,,2077.36,INR,2026-08-18T07:58:03,CAPTURED_UNSETTLED,UPI,MID-1015,GW-67794130,
TXN-000116,PAY-000116-198,SET-20260828-609073,1297.56,INR,2026-08-28T18:18:42,CAPTURED,UPI,MID-1024,GW-46589540,2026-08-28T20:27:18
TXN-000117,PAY-000117-603,SET-20260812-799090,2341.29,INR,2026-08-12T10:24:47,CAPTURED,WALLET,MID-1017,GW-68923266,2026-08-12T13:20:11
TXN-000118,PAY-000118-770,SET-20260811-457688,1231.01,INR,2026-08-11T03:06:15,CAPTURED,CARD,MID-1001,GW-17264366,2026-08-11T05:23:01
TXN-000119,PAY-000119-854,SET-20260818-682565,735.49,INR,2026-08-18T07:23:03,CAPTURED,WALLET,MID-1022,GW-70034098,2026-08-18T07:53:16
TXN-000120,PAY-000120-957,SET-20260818-698178,1953.69,INR,2026-08-18T13:18:38,CAPTURED,UPI,MID-1016,GW-44647206,2026-08-18T13:51:17
TXN-000121,PAY-000121-807,SET-20260826-250181,930.81,INR,2026-08-26T08:44:26,CAPTURED,CARD,MID-1004,GW-38107964,2026-08-26T10:14:44
TXN-000122,PAY-000122-490,SET-20260807-202215,1655.86,INR,2026-08-07T08:28:41,CAPTURED,CARD,MID-1003,GW-40657175,2026-08-07T09:26:11
TXN-000123,PAY-000123-219,SET-20260819-565904,1772.40,INR,2026-08-19T18:27:18,CAPTURED,CARD,MID-1023,GW-85683631,2026-08-19T18:32:39
TXN-000124,PAY-000124-716,SET-20260818-816561,149.14,INR,2026-08-18T16:23:35,CAPTURED,NETBANKING,MID-1014,GW-58686425,2026-08-18T18:35:15
TXN-000125,PAY-000125-645,SET-20260819-625354,1759.48,INR,2026-08-19T04:43:21,CAPTURED,CARD,MID-1009,GW-11066797,2026-08-19T07:06:16
TXN-000126,PAY-000126-955,SET-20260804-789431,1524.15,INR,2026-08-04T18:08:31,CAPTURED,NETBANKING,MID-1005,GW-15212086,2026-08-04T20:00:18
TXN-000127,PAY-000127-829,SET-20260806-405194,1013.56,INR,2026-08-06T19:40:56,CAPTURED,CARD,MID-1001,GW-31552742,2026-08-06T21:02:15
TXN-000128,PAY-000128-581,SET-20260829-688393,559.47,INR,2026-08-29T18:53:45,CAPTURED,WALLET,MID-1016,GW-87225553,2026-08-29T21:25:20
TXN-000129,PAY-000129-480,SET-20260816-133050,2002.62,INR,2026-08-16T23:53:42,CAPTURED,WALLET,MID-1014,GW-93246903,2026-08-17T02:12:31
TXN-000130,PAY-000130-299,SET-20260807-978761,1053.18,INR,2026-08-07T22:44:06,CAPTURED,WALLET,MID-1015,GW-93857161,2026-08-08T02:39:28
TXN-000131,PAY-000131-825,SET-20260815-641052,924.83,INR,2026-08-15T20:08:00,CAPTURED,WALLET,MID-1015,GW-93566135,2026-08-15T21:52:01
TXN-000132,PAY-000132-193,SET-20260826-642596,2494.44,INR,2026-08-26T22:41:19,CAPTURED,CARD,MID-1010,GW-89709914,2026-08-26T23:27:26
TXN-000133,PAY-000133-959,SET-20260814-376307,1891.25,INR,2026-08-14T08:00:29,CAPTURED,WALLET,MID-1019,GW-40374222,2026-08-14T10:07:33
TXN-000134,PAY-000134-555,SET-20260818-231008,200.75,INR,2026-08-18T09:03:35,CAPTURED,NETBANKING,MID-1021,GW-46714410,2026-08-18T10:20:26
TXN-000135,PAY-000135-560,SET-20260811-972072,1212.86,INR,2026-08-11T10:22:15,CAPTURED,NETBANKING,MID-1015,GW-30965214,2026-08-11T11:09:40
TXN-000136,PAY-000136-492,SET-20260817-562154,1925.75,INR,2026-08-17T02:46:29,CAPTURED,NETBANKING,MID-1001,GW-49407682,2026-08-17T06:13:19
TXN-000137,PAY-000137-150,SET-20260822-585828,2114.50,INR,2026-08-22T01:36:23,CAPTURED,CARD,MID-1012,GW-31864279,2026-08-22T03:21:57
TXN-000138,PAY-000138-619,SET-20260814-570441,1971.07,INR,2026-08-14T07:25:54,CAPTURE_REVERSED,NETBANKING,MID-1020,GW-22240782,2026-08-14T08:24:12
TXN-000139,PAY-000139-476,SET-20260818-213516,655.09,INR,2026-08-18T18:40:22,CAPTURED,UPI,MID-1013,GW-59805149,2026-08-18T20:49:54
TXN-000140,PAY-000140-276,SET-20260805-967879,1565.68,INR,2026-08-05T07:56:50,CAPTURED,NETBANKING,MID-1023,GW-59883316,2026-08-05T08:07:47
TXN-000141,PAY-000141-787,SET-20260806-320142,2278.57,INR,2026-08-06T21:26:50,CAPTURED,UPI,MID-1019,GW-69993570,2026-08-06T22:46:40
TXN-000142,PAY-000142-683,SET-20260823-365474,1789.70,INR,2026-08-23T15:33:02,CAPTURED,WALLET,MID-1012,GW-41979955,2026-08-23T19:28:32
TXN-000143,PAY-000143-754,SET-20260824-453099,2034.86,INR,2026-08-24T16:33:48,CAPTURED,NETBANKING,MID-1013,GW-35988401,2026-08-24T18:21:17
TXN-000144,PAY-000144-747,SET-20260819-684882,30.26,INR,2026-08-19T19:16:41,CAPTURED,NETBANKING,MID-1016,GW-31514645,2026-08-19T21:41:06
TXN-000145,PAY-000145-759,SET-20260814-528081,2377.59,INR,2026-08-14T04:57:38,CAPTURED,CARD,MID-1017,GW-78756293,2026-08-14T07:05:51
TXN-000146,PAY-000146-460,SET-20260803-566995,2054.28,INR,2026-08-03T01:40:46,CAPTURED,UPI,MID-1007,GW-94266904,2026-08-03T04:55:30
TXN-000147,PAY-000147-242,SET-20260801-302140,681.45,INR,2026-08-01T18:39:51,CAPTURED,WALLET,MID-1020,GW-12969688,2026-08-01T18:51:44
TXN-000148,PAY-000148-385,SET-20260820-576961,1612.71,INR,2026-08-20T01:42:59,CAPTURED,NETBANKING,MID-1014,GW-92903460,2026-08-20T03:36:59
TXN-000149,PAY-000149-577,SET-20260825-696144,511.46,INR,2026-08-25T01:59:42,CAPTURED,UPI,MID-1009,GW-66858657,2026-08-25T04:38:14
TXN-000150,PAY-000150-199,SET-20260816-292497,2082.00,INR,2026-08-16T15:19:30,CAPTURED,NETBANKING,MID-1020,GW-18692868,2026-08-16T17:30:58
TXN-000151,PAY-000151-584,SET-20260812-409249,454.12,INR,2026-08-12T22:49:31,CAPTURED,NETBANKING,MID-1007,GW-41180441,2026-08-13T02:05:41
TXN-000152,PAY-000152-969,SET-20260807-561864,574.58,INR,2026-08-07T22:29:31,CAPTURED,CARD,MID-1007,GW-54655341,2026-08-07T23:29:46
TXN-000153,PAY-000153-725,SET-20260831-364960,1641.01,INR,2026-08-31T20:12:52,CAPTURED,WALLET,MID-1022,GW-84429258,2026-08-31T22:59:53
TXN-000154,PAY-000154-567,SET-20260824-801005,1311.64,INR,2026-08-24T03:23:31,CAPTURED,CARD,MID-1017,GW-69983979,2026-08-24T06:51:06
TXN-000155,PAY-000155-779,SET-20260807-786213,2428.47,INR,2026-08-07T06:38:50,CAPTURED,NETBANKING,MID-1019,GW-11268372,2026-08-07T10:09:08
TXN-000156,PAY-000156-528,SET-20260821-565723,1458.69,INR,2026-08-21T02:45:34,CAPTURED,NETBANKING,MID-1014,GW-65819767,2026-08-21T06:26:05
TXN-000157,PAY-000157-402,SET-20260803-557242,752.03,INR,2026-08-03T05:19:54,CAPTURED,CARD,MID-1019,GW-15009153,2026-08-03T05:38:45
TXN-000158,PAY-000158-486,SET-20260814-576461,1897.46,INR,2026-08-14T18:18:16,CAPTURED,UPI,MID-1022,GW-87060594,2026-08-14T20:40:07
TXN-000159,PAY-000159-236,SET-20260813-908915,1460.77,INR,2026-08-13T15:02:26,CAPTURED,UPI,MID-1023,GW-61494569,2026-08-13T16:46:54
TXN-000160,PAY-000160-140,SET-20260817-947341,686.68,INR,2026-08-17T17:34:42,CAPTURED,UPI,MID-1005,GW-80360256,2026-08-17T20:52:14
TXN-000161,PAY-000161-854,SET-20260824-696888,952.93,INR,2026-08-24T15:40:45,CAPTURED,WALLET,MID-1001,GW-44469494,2026-08-24T17:58:08
TXN-000162,PAY-000162-480,SET-20260815-906226,1358.21,INR,2026-08-15T07:49:31,CAPTURED,WALLET,MID-1021,GW-18265654,2026-08-15T10:13:27
TXN-000163,PAY-000163-247,SET-20260817-635433,1673.30,INR,2026-08-17T09:53:30,CAPTURED,NETBANKING,MID-1007,GW-21154310,2026-08-17T12:52:32
TXN-000164,PAY-000164-941,SET-20260830-384609,1544.31,INR,2026-08-30T20:25:16,CAPTURED,WALLET,MID-1009,GW-14648864,2026-08-30T21:51:48
